SV1a,SV1b,SV1c,upls,tripwire,decision,confidence,tripwire_triggered
0.35,0.7,0.95,0.622,6.22,HOLD,Moderate,False
0.35,0.76,0.95,0.643,6.43,HOLD,Moderate,False
0.35,0.82,0.95,0.664,6.64,HOLD,Moderate,False
0.35,0.86,0.95,0.678,6.78,HOLD,Moderate,False
0.35,0.9,0.95,0.692,6.92,HOLD,Moderate,False
0.35,0.96,0.95,0.714,7.14,HOLD,Good,False
0.38,0.5,0.95,0.565,5.65,HOLD,Moderate,False
0.38,0.58,0.95,0.593,5.93,HOLD,Moderate,False
0.38,0.64,0.95,0.613,6.13,HOLD,Moderate,False
0.38,0.7,0.95,0.635,6.35,HOLD,Moderate,False
0.38,0.76,0.95,0.655,6.55,HOLD,Moderate,False
0.38,0.82,0.95,0.676,6.76,HOLD,Moderate,False
0.38,0.86,0.95,0.691,6.91,HOLD,Moderate,False
0.38,0.9,0.95,0.705,7.05,HOLD,Good,False
0.38,0.96,0.95,0.726,7.26,HOLD,Good,False
0.42,0.5,0.95,0.581,5.81,HOLD,Moderate,False
0.42,0.58,0.95,0.609,6.09,HOLD,Moderate,False
0.42,0.64,0.95,0.629,6.29,HOLD,Moderate,False
0.42,0.7,0.95,0.65,6.5,HOLD,Moderate,False
0.42,0.76,0.95,0.671,6.71,HOLD,Moderate,False
0.42,0.82,0.95,0.692,6.92,HOLD,Moderate,False
0.42,0.86,0.95,0.706,7.06,HOLD,Good,False
0.42,0.9,0.95,0.72,7.2,HOLD,Good,False
0.42,0.96,0.95,0.742,7.42,HOLD,Good,False
0.46,0.5,0.95,0.597,5.97,HOLD,Moderate,False
0.46,0.58,0.95,0.625,6.25,HOLD,Moderate,False
0.46,0.64,0.95,0.645,6.45,HOLD,Moderate,False
0.46,0.7,0.95,0.666,6.66,HOLD,Moderate,False
0.46,0.76,0.95,0.688,6.88,HOLD,Moderate,False
0.46,0.82,0.95,0.708,7.08,HOLD,Good,False
0.46,0.86,0.95,0.722,7.22,HOLD,Good,False
0.46,0.9,0.95,0.736,7.36,HOLD,Good,False
0.46,0.96,0.95,0.758,7.58,HOLD,Good,True
0.5,0.5,0.95,0.613,6.13,HOLD,Moderate,False
0.5,0.58,0.95,0.641,6.41,HOLD,Moderate,False
0.5,0.64,0.95,0.661,6.61,HOLD,Moderate,False
0.5,0.7,0.95,0.682,6.82,HOLD,Moderate,False
0.5,0.76,0.95,0.704,7.04,HOLD,Good,False
0.5,0.82,0.95,0.724,7.24,HOLD,Good,False
0.5,0.86,0.95,0.738,7.38,HOLD,Good,False
0.5,0.9,0.95,0.752,7.52,HOLD,Good,True
0.5,0.96,0.95,0.774,7.74,HOLD,Good,True
0.56,0.5,0.95,0.637,6.37,HOLD,Moderate,False
0.56,0.58,0.95,0.665,6.65,HOLD,Moderate,False
0.56,0.64,0.95,0.685,6.85,HOLD,Moderate,False
0.56,0.7,0.95,0.706,7.06,HOLD,Good,False
0.56,0.76,0.95,0.728,7.28,HOLD,Good,False
0.56,0.82,0.95,0.748,7.48,HOLD,Good,False
0.56,0.86,0.95,0.762,7.62,HOLD,Good,True
0.56,0.9,0.95,0.776,7.76,HOLD,Good,True
0.56,0.96,0.95,0.798,7.98,HOLD,Good,True
0.65,0.5,0.95,0.672,6.72,HOLD,Moderate,False
0.65,0.58,0.95,0.7,7.0,HOLD,Good,False
0.65,0.64,0.95,0.722,7.22,HOLD,Good,False
0.65,0.7,0.95,0.742,7.42,HOLD,Good,False
0.65,0.76,0.95,0.764,7.64,HOLD,Good,True
0.65,0.82,0.95,0.784,7.84,HOLD,Good,True
0.65,0.86,0.95,0.798,7.98,HOLD,Good,True
0.65,0.9,0.95,0.812,8.12,HOLD,Good,True
0.65,0.96,0.95,0.833,8.33,HOLD,Good,True
