SV1a,SV1b,SV1c,upls,tripwire,decision,confidence,tripwire_triggered
0.15,0.5,0.95,0.472,4.72,COUNTER,Low,False
0.15,0.58,0.95,0.5,5.0,HOLD,Moderate,False
0.15,0.64,0.95,0.521,5.21,HOLD,Moderate,False
0.15,0.7,0.95,0.542,5.42,HOLD,Moderate,False
0.15,0.76,0.95,0.563,5.63,HOLD,Moderate,False
0.15,0.82,0.95,0.585,5.85,HOLD,Moderate,False
0.15,0.86,0.95,0.599,5.99,HOLD,Moderate,False
0.15,0.9,0.95,0.613,6.13,HOLD,Moderate,False
0.15,0.96,0.95,0.633,6.33,HOLD,Moderate,False
0.22,0.5,0.95,0.5,5.0,HOLD,Moderate,False
0.22,0.58,0.95,0.528,5.28,HOLD,Moderate,False
0.22,0.64,0.95,0.549,5.49,HOLD,Moderate,False
0.22,0.7,0.95,0.571,5.71,HOLD,Moderate,False
0.22,0.76,0.95,0.591,5.91,HOLD,Moderate,False
0.22,0.82,0.95,0.613,6.13,HOLD,Moderate,False
0.22,0.86,0.95,0.627,6.27,HOLD,Moderate,False
0.22,0.9,0.95,0.641,6.41,HOLD,Moderate,False
0.22,0.96,0.95,0.661,6.61,HOLD,Moderate,False
0.28,0.5,0.95,0.524,5.24,HOLD,Moderate,False
0.28,0.58,0.95,0.552,5.52,HOLD,Moderate,False
0.28,0.64,0.95,0.573,5.73,HOLD,Moderate,False
0.28,0.7,0.95,0.595,5.95,HOLD,Moderate,False
0.28,0.76,0.95,0.615,6.15,HOLD,Moderate,False
0.28,0.82,0.95,0.637,6.37,HOLD,Moderate,False
0.28,0.86,0.95,0.651,6.51,HOLD,Moderate,False
0.28,0.9,0.95,0.665,6.65,HOLD,Moderate,False
0.28,0.96,0.95,0.685,6.85,HOLD,Moderate,False
0.32,0.5,0.95,0.54,5.4,HOLD,Moderate,False
0.32,0.58,0.95,0.569,5.69,HOLD,Moderate,False
0.32,0.64,0.95,0.589,5.89,HOLD,Moderate,False
0.32,0.7,0.95,0.611,6.11,HOLD,Moderate,False
